0.9, 0.87, 0.96, 0.79, 0.64, 0.71 
0.44, 0.42, 0.71, 0.56, 0.84, 0.98 
0.34, 0.36, 0.77, 0.96, 0.68, 0.42 
0.49, 0.6, 0.88, 0.56, 0.74, 0.9 
0.8, 0.77, 0.91, 0.92, 0.68, 0.34 
0.92, 0.81, 0.93, 0.86, 0.37, 0.86 
0.5, 0.44, 0.68, 0.46, 0.92, 0.4 
0.87, 0.67, 0.67, 0.53, 0.84, 0.77 
0.81, 0.81, 0.74, 0.81, 0.51, 0.51 
0.35, 0.34, 0.03, 0.79, 0.26, 0.85 
0.33, 0.34, 0.03, 0.79, 0.26, 0.83 
0.33, 0.34, 0.03, 0.79, 0.26, 0.82 
0.33, 0.34, 0.03, 0.79, 0.26, 0.82 
0.33, 0.34, 0.03, 0.79, 0.26, 0.82 
0.33, 0.34, 0.03, 0.79, 0.26, 0.82 
0.33, 0.34, 0.03, 0.79, 0.26, 0.82 
0.32, 0.34, 0.03, 0.79, 0.26, 0.82 
0.33, 0.34, 0.03, 0.79, 0.26, 0.82 
0.33, 0.34, 0.03, 0.79, 0.26, 0.82 
0.33, 0.34, 0.03, 0.79, 0.26, 0.96 
